municipio,provincia,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y
Val de San Vicente,Cantabria,-4.539379119873047,43.398193359375,-4.42106199264515,43.33152008056646
Cabezón de la Sal,Cantabria,-4.284244060516357,43.350318908691406,-4.169300079345646,43.27496719360357
Los Tojos,Cantabria,-4.312132835388127,43.19173049926758,-4.125222206115723,43.09437561035156
Escalante,Cantabria,-3.576560974121037,43.45491409301752,-3.484306097030583,43.421749114990234
Noja,Cantabria,-3.546528100967407,43.4970817565918,-3.47541689872736,43.46037292480469
Montalvos,Albacete,-2.06612491607666,39.19652938842785,-1.982514977455139,39.1367301940918
Lezuza,Albacete,-2.453310966491642,39.07140350341797,-2.149940013885498,38.84131240844732
Villarta de San Juan,Ciudad Real,-3.473650932311955,39.27938461303711,-3.383675098419133,39.14127349853521
Alcolea de Calatrava,Ciudad Real,-4.182147026061955,39.02877807617199,-4.049020767211914,38.913646697998104
Villamanrique,Ciudad Real,-3.233851909637451,38.58868408203131,-2.846873044967651,38.40828704833989
Villanueva de San Carlos,Ciudad Real,-3.96461296081543,38.66380310058594,-3.791114091873169,38.53395462036127
El Pozuelo,Cuenca,-2.297586917877084,40.64477157592785,-2.227448940277043,40.542327880859375
Bascuñana de San Pedro,Cuenca,-2.249294996261597,40.24205780029308,-2.195312976837158,40.18099975585948
La Parra de las Vegas,Cuenca,-2.289969921112004,39.902080535888786,-2.145771980285644,39.827575683593864
Monteagudo de las Salinas,Cuenca,-2.048099040985051,39.876121520996094,-1.784873008727971,39.74679183959972
Yémeda,Cuenca,-1.793347001075688,39.78974914550787,-1.669715046882573,39.73377227783197
Cardenete,Cuenca,-1.791339039802551,39.87119293212896,-1.616821050643864,39.74819946289068
Paredes,Cuenca,-2.873307943344116,40.117336273193416,-2.836774110794067,40.038219451904354
Ledaña,Cuenca,-1.769376993179264,39.415859222412216,-1.647341012954712,39.32118988037121
Pozorrubielos de la Mancha,Cuenca,-2.086267948150635,39.534881591796875,-1.949815988540593,39.4210205078125
El Pedernoso,Cuenca,-2.803307056427002,39.515853881835994,-2.697438955307007,39.43378067016607
Peralejos de las Truchas,Guadalajara,-1.979305982589721,40.65612030029308,-1.843814015388489,40.527244567871094
Anguita,Guadalajara,-2.436933994293212,41.0864639282226,-2.252082109451294,40.91432189941412
Cañizar,Guadalajara,-3.108905076980591,40.802780151367244,-3.043981075286808,40.74778747558594
Heras de Ayuso,Guadalajara,-3.135785102844238,40.80274200439458,-3.087482929229736,40.77122879028332
Chiloeches,Guadalajara,-3.241626024246216,40.61389923095708,-3.141127109527587,40.51469421386719
Escariche,Guadalajara,-3.130392074584904,40.43186950683588,-3.024179935455265,40.36499023437506
Romanones,Guadalajara,-3.023582935333252,40.59864807128912,-2.932171106338501,40.541751861572315
Valdeconcha,Guadalajara,-2.915388107299805,40.478321075439446,-2.839076042175236,40.42531204223633
Angón,Guadalajara,-2.89857888221735,41.09664535522472,-2.821670055389404,41.04364013671881
Cantalojas,Guadalajara,-3.415075063705444,41.30443572998058,-3.178528070449829,41.14923095703125
Condemios de Arriba,Guadalajara,-3.162427902221623,41.23179244995123,-3.040079116821232,41.16224288940441
Saúca,Guadalajara,-2.61249303817749,41.07579803466797,-2.495009899139347,40.98390197753906
Ciruelos,Toledo,-3.666263103485107,39.969207763671875,-3.586262941360474,39.924423217773494
Villaminaya,Toledo,-3.914170980453434,39.74765396118164,-3.846961975097542,39.68624496459961
Arcicóllar,Toledo,-4.15010309219349,40.08576202392584,-4.042317867279053,40.02894210815423
Erustes,Toledo,-4.526895999908334,39.97293090820323,-4.467886924743652,39.938808441162166
Velada,Toledo,-5.100536823272705,40.12157058715825,-4.930784225463866,39.9388999938966
El Viso de San Juan,Toledo,-4.053458213806152,40.18210601806646,-3.909416913986206,40.11478042602539
Numancia de la Sagra,Toledo,-3.87889909744257,40.101249694824276,-3.764358997344914,40.05284118652355
Mohedas de la Jara,Toledo,-5.206513881683349,39.647960662841854,-5.094490051269531,39.54935836791998
Aveinte,Ávila,-4.856101989746094,40.811035156250114,-4.808558940887451,40.7625389099121
Blascomillán,Ávila,-5.168848991394043,40.86633682250982,-5.050787925720215,40.77911758422851
Manjabálago,Ávila,-5.110111236572266,40.70143127441406,-5.034533023834172,40.642086029052784
Muñana,Ávila,-5.075063228607177,40.627941131591854,-4.980613231658936,40.5640602111817
Sigeres,Ávila,-4.976309776306152,40.812385559081974,-4.899388790130615,40.77427673339844
Sotalbo,Ávila,-4.829253196716309,40.601818084716854,-4.795135021209716,40.58111190795893
Bohoyo,Ávila,-5.503975868225041,40.329235076904354,-5.315573215484562,40.25046539306652
Garganta del Villar,Ávila,-5.148655891418343,40.47657012939459,-5.091965198516789,40.42216110229497
San Esteban del Valle,Ávila,-5.001574039459229,40.355064392089844,-4.919714927673283,40.21998596191406
Castrillo Matajudíos,Burgos,-4.222235202789307,42.33890533447271,-4.160849094390812,42.26846313476562
Pampliega,Burgos,-4.005283832549935,42.25549697875982,-3.914628982543832,42.18803787231457
Tobar,Burgos,-3.958050966262704,42.50816345214855,-3.907696008682251,42.46191024780284
Humada,Burgos,-4.166728973388558,42.70668411254883,-3.984767913818246,42.60920333862299
Sargentes de la Lora,Burgos,-3.952228069305363,42.80451583862299,-3.82276701927185,42.66063308715826
Valle de Valdelucio,Burgos,-4.190927028656006,42.76728057861328,-3.99389100074768,42.66884231567394
Albillos,Burgos,-3.813208103179932,42.305343627929744,-3.762523889541512,42.254337310791065
Castrillo del Val,Burgos,-3.619609117507877,42.34733200073242,-3.55400609970087,42.275726318359375
Bañuelos de Bureba,Burgos,-3.311515092849731,42.52785491943354,-3.24459791183466,42.47813415527343
Briviesca,Burgos,-3.417702913284302,42.61325073242199,-3.22162389755249,42.496707916259766
Castil de Peones,Burgos,-3.404063940048218,42.498130798339844,-3.36258602142334,42.44390106201183
Llano de Bureba,Burgos,-3.482988119125366,42.64511489868164,-3.404161930084229,42.604999542236264
Cumbres de San Bartolomé,Huelva,-6.885584831237793,38.12465286254883,-6.707446098327637,37.994453430175895
Berrocal,Huelva,-6.597589015960693,37.62946319580078,-6.427690982818603,37.503047943115234
Villalbarba,Valladolid,-5.253582954406738,41.63043594360357,-5.177766799926644,41.5775260925293
Villanueva de los Infantes,Valladolid,-4.516567230224609,41.73398208618164,-4.455440998077392,41.67800903320318
Manzanillo,Valladolid,-4.27375316619873,41.59944534301752,-4.151210784912108,41.56686019897461
Bobadilla del Campo,Valladolid,-5.064995765685978,41.22693634033208,-4.990220069885196,41.14229965209961
Brahojos de Medina,Valladolid,-5.084210872650146,41.25377655029297,-5.003818988800049,41.17951583862305
Ferreras de Arriba,Zamora,-6.253236770629883,41.96497726440435,-6.136405944824218,41.87089157104492
Palacios de Sanabria,Zamora,-6.596096038818303,42.08642959594726,-6.504318237304688,42.00627899169927
Pedralba de la Pradería,Zamora,-6.768560886383057,42.052764892578125,-6.588283061981143,41.93330383300792
Villárdiga,Zamora,-5.545791149139347,41.83836364746094,-5.437613964080811,41.801174163818416
Roelos de Sayago,Zamora,-6.23305511474598,41.32449722290045,-6.121844768524056,41.21512603759771
Moraleja del Vino,Zamora,-5.682365894317627,41.48183441162121,-5.597751140594482,41.41514968872082
Morales de Toro,Zamora,-5.345311164855957,41.57544708251959,-5.228765010833683,41.49028778076172
Premià de Dalt,Barcelona,2.322777032852173,41.5248908996582,2.37290000915533,41.488178253173885
Orpí,Barcelona,1.538514971733093,41.541664123535206,1.61504602432251,41.50728225708019
Montseny,Barcelona,2.334104061126822,41.80873870849621,2.443772077560425,41.7456550598145
Sant Esteve de Palautordera,Barcelona,2.395941972732487,41.735275268554744,2.447870016098079,41.69466781616211
Sant Fost de Campsentelles,Barcelona,2.203965902328605,41.53123092651367,2.263197898864746,41.48869705200195
Monistrol de Calders,Barcelona,1.979272007942313,41.79033279418957,2.053483009338436,41.72453308105469
Folgueroles,Barcelona,2.282124042511043,41.96100616455078,2.359414100647029,41.92279434204101
Aldeasoña,Segovia,-4.100143909454289,41.49539184570323,-4.021560192108097,41.45159149169922
Languilla,Segovia,-3.459348917007446,41.48272705078131,-3.364890098571777,41.424446105956974
Navares de Ayuso,Segovia,-3.721091985702457,41.407123565673885,-3.680336952209473,41.33961486816406
Urueñas,Segovia,-3.806662082672062,41.39214324951177,-3.709595918655339,41.32767105102539
Adrados,Segovia,-4.151965141296386,41.39237213134777,-4.058200836181527,41.334594726562614
Escobar de Polendos,Segovia,-4.156497955322208,41.14313125610357,-4.062582015991211,41.04896163940441
Pinarnegrillo,Segovia,-4.256737232208195,41.208232879638786,-4.183513164520264,41.181388854980526
Remondo,Segovia,-4.50437593460083,41.36565017700195,-4.471741199493408,41.32225799560546
Vallelado,Segovia,-4.467168807983342,41.432693481445305,-4.368229866027775,41.36084365844721
Valleruela de Sepúlveda,Segovia,-3.796665906906072,41.216400146484375,-3.735534906387215,41.1688117980957
Aldehuela de Periáñez,Soria,-2.352794885635319,41.8402214050293,-2.273669958114624,41.77564239501953
Barruelo del Valle,Valladolid,-5.105629920959415,41.70771026611328,-5.063282012939453,41.64879989624035
Arija,Burgos,-3.973959922790471,43.00574493408209,-3.92903995513916,42.967849731445426
Valle de Mena,Burgos,-3.434858083724919,43.19855880737316,-3.133893013000431,43.021331787109375
Firgas,Las Palmas,-15.576754570007324,28.142841339111385,-15.539338111877441,28.07598686218273
Valsequillo de Gran Canaria,Las Palmas,-15.554216384887582,28.01233863830572,-15.457612991332892,27.952880859375
Los Llanos de Aridane,Santa Cruz de Tenerife,-17.94511413574213,28.672636032104435,-17.877086639404297,28.54958343505865
Puntallana,Santa Cruz de Tenerife,-17.838462829589844,28.78489875793457,-17.723472595214787,28.702362060546932
San Juan de la Rambla,Santa Cruz de Tenerife,-16.656620025634652,28.39875030517589,-16.59413528442377,28.305633544921932
Viniegra de Arriba,La Rioja,-2.861985921859684,42.118694305419915,-2.790079116821289,42.03446578979503
Baños de Río Tobía,La Rioja,-2.797755002975463,42.362174987793026,-2.720889091491699,42.32052230834966
Murillo de Río Leza,La Rioja,-2.373248100280762,42.43840026855463,-2.214939117431527,42.372650146484375
Armiñón,Álava,-2.892790079116764,42.73990631103527,-2.838335037231445,42.697387695312614
Kripan,Álava,-2.532501935958862,42.6170539855957,-2.49058008193964,42.57041931152344
Lapuebla de Labarca,Álava,-2.592474937438851,42.5075302124024,-2.544502019882202,42.48259353637695
Albiztur,Guipúzcoa,-2.182979106902962,43.17340087890631,-2.110795974731445,43.09756469726574
Baliarrain,Guipúzcoa,-2.143932104110604,43.08270263671869,-2.120497941970825,43.06270980834972
Irun,Guipúzcoa,-1.85222601890564,43.35041809082036,-1.728302001953125,43.28642272949219
Berango,Vizcaya,-3.00890302658081,43.37824630737299,-2.946108102798405,43.344192504882756
Ea,Vizcaya,-2.627022981643677,43.39458465576172,-2.550693988800049,43.36119842529296
Etxebarria,Vizcaya,-2.433455944061279,43.27558517456066,-2.421595096588135,43.268955230712834
Gernika-Lumo,Vizcaya,-2.717715978622437,43.32790374755865,-2.671490907669067,43.29533004760742
Loiu,Vizcaya,-2.946413993835449,43.34674835205084,-2.889018058776855,43.285850524902344
Mieres,Asturias,-5.855122089385929,43.289093017578125,-5.625382900237979,43.18106460571289
Taramundi,Asturias,-7.134212017059326,43.4269256591798,-7.020380020141602,43.30025863647461
Laviana,Asturias,-5.631432056427002,43.30302429199219,-5.463481903076172,43.16101074218756
Nava,Asturias,-5.567822933197021,43.41588592529308,-5.418931961059513,43.27613830566406
Tíjola,Almería,-2.547391891479492,37.47794723510748,-2.421540021896305,37.32498168945307
Castro de Filabres,Almería,-2.500258922576847,37.21764755249035,-2.42098593711853,37.1290168762207
Lubrín,Almería,-2.155179977416935,37.29544448852544,-1.982715010643005,37.15983963012701
Santa Cruz de Marchena,Almería,-2.642174005508423,37.06687545776367,-2.532007932662964,37.006229400634766
Viator,Almería,-2.43516302108759,36.92704010009771,-2.367315053939762,36.86614227294922
Antas,Almería,-2.040929079055786,37.304573059081974,-1.887101054191589,37.19015121459966
Villamartín,Cádiz,-5.736159801483097,36.975975036621094,-5.526933193206787,36.762630462646484
Belalcázar,Córdoba,-5.371627807617188,38.68632507324219,-5.003505229949951,38.493984222412166
Villanueva del Duque,Córdoba,-5.162273883819523,38.437953948974666,-4.972571849822884,38.27086639404297
Hornachuelos,Córdoba,-5.585517883300781,38.162563323974716,-5.104165077209473,37.69715499877941
Espejo,Córdoba,-4.60564708709711,37.72183990478521,-4.509091854095459,37.61454391479498
Cájar,Granada,-3.580269098281804,37.14232635498047,-3.557725906372013,37.119384765625
Cijuela,Granada,-3.861424922943115,37.207828521728516,-3.801372051239014,37.14252853393566
Polopos,Granada,-3.324965000152531,36.82227706909191,-3.272120952606201,36.7379150390625
Turón,Granada,-3.141350984573364,36.893905639648544,-3.02889609336853,36.78782272338867
Hinojales,Huelva,-6.622675895690861,38.026786804199276,-6.500111103057861,37.97206878662115
Aljaraque,Huelva,-7.077575206756591,37.30792236328131,-6.972639083862305,37.25347900390625
Bollullos Par del Condado,Huelva,-6.591565132140999,37.361854553222656,-6.471920013427678,37.287590026855575
La Zaida,Zaragoza,-0.47988298535347,41.35027313232421,-0.386272013187408,41.31175994873047
Anievas,Cantabria,-4.032224178314209,43.232814788818416,-3.976608037948495,43.173019409179744
Santillana del Mar,Cantabria,-4.144128799438477,43.42680740356451,-4.044050216674805,43.36194610595703
Potes,Cantabria,-4.644806861877385,43.17271041870122,-4.608567237853947,43.132343292236435
Reocín,Cantabria,-4.174186229705811,43.37948608398432,-4.075108051300049,43.32128143310558
Voto,Cantabria,-3.574486970901489,43.389049530029354,-3.427196979522705,43.300685882568416
Socovos,Albacete,-2.048903942108154,38.422340393066406,-1.784225940704346,38.28170776367182
Hellín,Albacete,-1.876168012618905,38.68932342529297,-1.474778056144657,38.309429168701286
Villalgordo del Júcar,Albacete,-2.096184968948307,39.35919952392578,-1.989724040031433,39.27759552001953
Villarrubia de los Ojos,Ciudad Real,-3.770889043807926,39.307689666748104,-3.509371995925846,39.125198364257805
Puebla de Don Rodrigo,Ciudad Real,-4.874311923980656,39.19943237304693,-4.445730209350586,38.99370956420904
Almadenejos,Ciudad Real,-4.747005939483643,38.83412933349609,-4.599284172058049,38.71158599853527
Las Majadas,Cuenca,-2.054658889770451,40.373416900634766,-1.983759045600891,40.245735168457024
Fresneda de la Sierra,Cuenca,-2.182295083999577,40.43255615234381,-2.082175016403141,40.37514495849615
Uña,Cuenca,-2.042057037353516,40.258506774902344,-1.920006990432739,40.19141387939453
Talayuelas,Cuenca,-1.340541958808785,39.886642456054744,-1.206774950027466,39.75646972656244
Pinarejo,Cuenca,-2.500828981399479,39.64324188232422,-2.31861400604248,39.587390899658146
Canillas de Aceituno,Málaga,-4.137560844421387,36.90620803833019,-4.038023948669377,36.83303833007824
Cuevas Bajas,Málaga,-4.49103403091425,37.25739288330084,-4.439400196075439,37.203395843505795
Parauta,Málaga,-5.147817134857177,36.69779205322277,-5.016808032989502,36.63522338867193
Casarabonela,Málaga,-4.90237283706665,36.85432052612316,-4.746692180633545,36.7318725585938
El Ronquillo,Sevilla,-6.234682083129883,37.80989456176769,-6.120922088623047,37.67079544067388
Cañada Rosal,Sevilla,-5.274394035339299,37.6418190002442,-5.173127174377441,37.571422576904354
Lebrija,Sevilla,-6.230844020843506,37.07611846923828,-5.869458198547363,36.84221267700201
Carrión de los Céspedes,Sevilla,-6.349393844604492,37.37519836425781,-6.311114788055363,37.34767913818354
Estepa,Sevilla,-4.886769771575871,37.439418792724666,-4.837512969970646,37.40792083740246
Lascuarre,Huesca,0.482196986675262,42.22725677490229,0.553919017314968,42.14411926269531
Baélls,Huesca,0.42268401384348,42.01161956787115,0.503026008605957,41.89723968505871
Camporrélls,Huesca,0.491542011499462,41.97375869750982,0.577261984348411,41.90828323364258
Almudévar,Huesca,-0.672695994377136,42.155269622802734,-0.490900009870472,41.947383880615234
La Sotonera,Huesca,-0.63781601190567,42.336040496826286,-0.448967009782791,42.175460815429744
Tramaced,Huesca,-0.342076987028008,41.99140548706049,-0.272747993469238,41.945323944091854
Comunero de Ansó y Fago,Huesca,-0.703140020370483,42.86070251464844,-0.635789990425053,42.826816558838004
